OBJECTID,Shape_Leng,DISTRICT,STATE_UT,Shape_Area,Dist_LGD,REMARKS,STATE_LGD,system:index
1197,700679.938545,SHAHJAHANPUR,UTTAR PRADESH,4.16403207399E9,152,,9,0000000000000000038e
1198,203243.584579,SHAMLI,UTTAR PRADESH,1.26678338145E9,660,,9,0000000000000000038f
1199,302869.57623,SHRAWASTI,UTTAR PRADESH,1.86459652926E9,181,,9,00000000000000000390
1200,421546.911264,SIDDHARTHNAGAR,UTTAR PRADESH,2.79485424953E9,184,,9,00000000000000000391
1201,535780.194462,SITAPUR,UTTAR PRADESH,5.57590950346E9,154,,9,00000000000000000392
1202,572502.879358,SONBHADRA,UTTAR PRADESH,6.62108599626E9,200,,9,00000000000000000393
1203,455694.095124,SULTANPUR,UTTAR PRADESH,2.58471353403E9,179,,9,00000000000000000394
1204,540868.968087,UNNAO,UTTAR PRADESH,4.39111423227E9,156,,9,00000000000000000395
1205,296572.532368,VARANASI,UTTAR PRADESH,1.47658752575E9,197,,9,00000000000000000396
1208,689860.044357,BANDA,UTTAR PRADESH,4.2252977107E9,170,,9,00000000000000000397
93,391150.821676,ARARIA,BIHAR,2.69511869945E9,188,,10,0000000000000000005b
94,189469.993121,ARWAL,BIHAR,6.13457790827E8,611,,10,0000000000000000005c
95,373090.408668,AURANGABAD,BIHAR,3.17930521216E9,189,,10,0000000000000000005d
96,343431.102795,BANKA,BIHAR,2.90970328119E9,190,,10,0000000000000000005e
97,363151.168805,BEGUSARAI,BIHAR,1.85016390245E9,191,,10,0000000000000000005f
98,384885.794527,BHAGALPUR,BIHAR,2.45922352431E9,192,,10,00000000000000000060
99,293506.147007,BHOJPUR,BIHAR,2.28541503517E9,193,,10,00000000000000000061
100,284738.630115,BUXAR,BIHAR,1.63622818537E9,194,,10,00000000000000000062
101,474816.708399,DARBHANGA,BIHAR,2.41830353185E9,195,,10,00000000000000000063
102,619518.071796,GAYA,BIHAR,4.77764260658E9,196,,10,00000000000000000064
103,347901.758656,GOPALGANJ,BIHAR,1.96151604553E9,197,,10,00000000000000000065
104,224464.765772,JAHANABAD,BIHAR,9.01906821177E8,239,,10,00000000000000000066
105,402936.88035,JAMUI,BIHAR,2.98375783393E9,198,,10,00000000000000000067
106,382981.244012,KAIMUR,BIHAR,3.21090284296E9,200,,10,00000000000000000068
107,478598.280051,KATIHAR,BIHAR,2.92725757759E9,201,,10,00000000000000000069
108,295905.850509,KHAGARIA,BIHAR,1.43596057904E9,202,,10,0000000000000000006a
109,431478.699786,KISHANGANJ,BIHAR,1.87267939227E9,203,,10,0000000000000000006b
110,225532.41915,LAKHISARAI,BIHAR,1.17266015856E9,204,,10,0000000000000000006c
111,341604.159328,MADHEPURA,BIHAR,1.7313573005E9,205,,10,0000000000000000006d
112,477769.524492,MADHUBANI,BIHAR,3.37229495505E9,206,,10,0000000000000000006e
113,268460.881122,MUNGER,BIHAR,1.35763571123E9,207,,10,0000000000000000006f
114,428289.817756,MUZAFFARPUR,BIHAR,3.06612647363E9,208,,10,00000000000000000070
115,397099.806636,NALANDA,BIHAR,2.2668282291E9,209,,10,00000000000000000071
116,380327.918954,NAWADA,BIHAR,2.39614020339E9,210,,10,00000000000000000072
117,490607.96893,PASHCHIMI CHAMPARAN,BIHAR,5.04379954002E9,211,,10,00000000000000000073
